Movie_Name,Movie_Rating,Movie_cerificate,Movie_Year,Movie_Runtime,Movie_Cast,Movie_Genre,Movie_Poster,Movie_Des
The Elephant Man,8.2,UA,1980,124 min,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud","Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
Monty Python and the Holy Grail,8.2,U,1975,91 min,"Graham Chapman, John Cleese, Eric Idle, Terry Gilliam","Adventure, Comedy, Fantasy            ","https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Chinatown,8.2,UA,1974,130 min,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez","Drama, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Z,8.2,M,1969,127 min,"Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer","Crime, Drama, History            ","https://m.media-amazon.com/images/M/MV5BNDQ4ZTI5NTktOTY2ZS00NmM3LWE2ZTAtMTdjNzFmOWYzYzhkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY98_CR1,0,67,98_AL_.jpg",The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
The Great Escape,8.2,U,1963,172 min,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson","Adventure, Drama, History            ","https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
Yôjinbô,8.2,U,1961,110 min,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa","Action, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Some Like It Hot,8.2,U,1959,121 min,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft","Comedy, Music, Romance            ","https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Smultronstället,8.2,U,1957,91 min,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BYWQxYzdhMDMtNjAyZC00NzE0LWFjYmQtYjk0YzMyYjA5NzZkXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
The Bridge on the River Kwai,8.2,U,1957,161 min,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa","Adventure, Drama, War            ","https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Du rififi chez les hommes,8.2,NA,1955,118 min,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BNjk1NjBkN2ItZTI1Yi00NDcyLTkwN2ItZGQ3MWU1NzU0NjYwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg","Four men plan a technically perfect crime, but the human element intervenes..."
Dial M for Murder,8.2,A,1954,105 min,"Ray Milland, Grace Kelly, Robert Cummings, John Williams","Crime, Thriller            ","https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",A former tennis star arranges the murder of his adulterous wife.
Tôkyô monogatari,8.2,U,1953,136 min,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara",Drama            ,"https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg","An old couple visit their children and grandchildren in the city, but receive little attention."
Le salaire de la peur,8.2,U,1953,131 min,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli","Adventure, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR0,0,67,98_AL_.jpg","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Rashômon,8.2,U,1950,88 min,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura","Crime, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BMjEzMzA4NDE2OF5BMl5BanBnXkFtZTcwNTc5MDI2NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
The Treasure of the Sierra Madre,8.2,NA,1948,126 min,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett","Adventure, Drama, Western            ","https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
To Be or Not to Be,8.2,NA,1942,99 min,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart","Comedy, Romance, War            ","https://m.media-amazon.com/images/M/MV5BYTIwNDcyMjktMTczMy00NDM5LTlhNDEtMmE3NGVjOTM2YjQ3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
Gone with the Wind,8.2,U,1939,238 min,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil","Drama, History, Romance            ","https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
La passion de Jeanne d'Arc,8.2,NA,1928,110 min,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
The General,8.2,NA,1926,67 min,"Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","Action, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
The Gold Rush,8.2,NA,1925,95 min,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman","Adventure, Comedy, Drama            ","https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR2,0,67,98_AL_.jpg","A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Sherlock Jr.,8.2,NA,1924,45 min,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","Action, Comedy, Romance            ","https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Portrait de la jeune fille en feu,8.1,18,2019,122 min,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino","Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
Dil Bechara,8.1,12+,2020,101 min,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee","Comedy, Drama, Romance            ","https://m.media-amazon.com/images/M/MV5BNmI0MTliMTAtMmJhNC00NTJmLTllMzQtMDI3NzA1ODMyZWI1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR5,0,67,98_AL_.jpg","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
Pink,8.1,UA,III 2016,136 min,"Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BNGI1MTI1YTQtY2QwYi00YzUzLTg3NWYtNzExZDlhOTZmZWU0XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UY98_CR3,0,67,98_AL_.jpg","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
Koe no katachi,8.1,16,2016,130 min,"Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono","Animation, Drama            ","https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR0,0,67,98_AL_.jpg","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
"Three Billboards Outside Ebbing, Missouri",8.1,A,2017,115 min,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones","Comedy, Crime, Drama            ","https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Talvar,8.1,UA,2015,132 min,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah","Crime, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BMTYzODg0Mjc4M15BMl5BanBnXkFtZTgwNzY4Mzc3NjE@._V1_UY98_CR2,0,67,98_AL_.jpg",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
Contratiempo,8.1,16,2016,106 min,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie","Crime, Drama, Mystery            ","https://m.media-amazon.com/images/M/MV5BOTEwYTkzMTMtODEzNC00YWM2LTgxNDMtZWNkNTQzNDVjMWQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDY4NTQ1MA@@._V1_UY98_CR1,0,67,98_AL_.jpg",A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
Masaan,8.1,A,2015,109 min,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi",Drama            ,"https://m.media-amazon.com/images/M/MV5BMTU4NTE0NTMyNl5BMl5BanBnXkFtZTgwNjI5MDkxNjE@._V1_UX67_CR0,0,67,98_AL_.jpg","Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
Airlift,8.1,UA,2016,130 min,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi","Drama, History            ","https://m.media-amazon.com/images/M/MV5BMGE1ZTkyOTMtMTdiZS00YzI2LTlmYWQtOTE5YWY0NWVlNjlmXkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_UY98_CR0,0,67,98_AL_.jpg","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
M.S. Dhoni: The Untold Story,8.1,U,2016,184 min,"Sushant Singh Rajput, Abhinay Raj Singh, Kiara Advani, Anupam Kher","Biography, Drama, Sport            ","https://m.media-amazon.com/images/M/MV5BZjAzZjZiMmQtMDZmOC00NjVmLTkyNTItOGI2Mzg4NTBhZTA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
Ah-ga-ssi,8.1,A,2016,145 min,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri","Drama, Romance, Thriller            ","https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR0,0,67,98_AL_.jpg","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Baby,8.1,UA,I 2015,159 min,"Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu","Action, Crime, Thriller            ","https://m.media-amazon.com/images/M/MV5BYTdhNjBjZDctYTlkYy00ZGIxLWFjYTktODk5ZjNlMzI4NjI3XkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY98_CR0,0,67,98_AL_.jpg","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
Logan,8.1,A,2017,137 min,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook","Action, Drama, Sci-Fi            ","https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Room,8.1,U,I 2015,118 min,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson","Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_UX67_CR0,0,67,98_AL_.jpg","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Relatos salvajes,8.1,18,2014,122 min,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta","Comedy, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BNGQzY2Y0MTgtMDA4OC00NjM3LWI0ZGQtNTJlM2UxZDQxZjI0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY98_CR1,0,67,98_AL_.jpg",Six short stories that explore the extremities of human behavior involving people in distress.
Mandariinid,8.1,NA,2013,87 min,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi","Drama, War            ","https://m.media-amazon.com/images/M/MV5BMTgwNzA3MDQzOV5BMl5BanBnXkFtZTgwNTE5MDE5NDE@._V1_UX67_CR0,0,67,98_AL_.jpg","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
Soul,8.1,U,2020,100 min,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House","Animation, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_UX67_CR0,0,67,98_AL_.jpg","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
Kis Uykusu,8.1,NA,2014,196 min,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan",Drama            ,"https://m.media-amazon.com/images/M/MV5BYzE2MjEwMTQtOTQ2Mi00ZWExLTkyMjUtNmJjMjBlYWFjZDdlXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UY98_CR0,0,67,98_AL_.jpg",A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
Bãhubali: The Beginning,8.1,UA,2015,159 min,"Prabhas, Rana Daggubati, Ramya Krishnan, Sathyaraj","Action, Drama            ","https://m.media-amazon.com/images/M/MV5BYWVlMjVhZWYtNWViNC00ODFkLTk1MmItYjU1MDY5ZDdhMTU3XkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_UX67_CR0,0,67,98_AL_.jpg","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
Special Chabbis,8.1,UA,2013,144 min,"Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill","Crime, Drama, Thriller            ","https://m.media-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_UY98_CR0,0,67,98_AL_.jpg",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
The Grand Budapest Hotel,8.1,UA,2014,99 min,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","Adventure, Comedy, Crime            ","https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Gone Girl,8.1,A,2014,149 min,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","Drama, Mystery, Thriller            ","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_UX67_CR0,0,67,98_AL_.jpg","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Ôkami kodomo no Ame to Yuki,8.1,U,2012,117 min,"Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii","Animation, Drama, Fantasy            ","https://m.media-amazon.com/images/M/MV5BYzQxNDZhNDUtNDUwOC00NjQyLTg2OWUtZWVlYThjYjYyMTc2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg","After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
Hacksaw Ridge,8.1,A,2016,139 min,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
12 Years a Slave,8.1,A,2013,134 min,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt","Biography, Drama, History            ","https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Guardians of the Galaxy,8.1,UA,2014,121 min,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","Action, Adventure, Comedy            ","https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_UX67_CR0,0,67,98_AL_.jpg",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Rush,8.1,R,I 2013,123 min,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara","Action, Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Ford v Ferrari,8.1,UA,2019,152 min,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe","Action, Biography, Drama            ","https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_UX67_CR0,0,67,98_AL_.jpg",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
